queue_type,queue_size,test_count,consumers,timeout_s,total_samples,avg_latency_us,min_latency_us,max_latency_us,throughput_est
mutex,4096,1000,2,15,2000,0.769500,0.000000,179.000000,2599090.318389
lockfree,4096,1000,2,15,2000,0.197000,0.000000,3.000000,10152284.263959
mutex,4096,1000,4,15,4000,1.014750,0.000000,253.000000,3941857.600394
lockfree,4096,1000,4,15,4000,0.168500,0.000000,1.000000,23738872.403561
mutex,4096,1000,8,15,8000,1.801125,0.000000,312.000000,4441668.401693
lockfree,4096,1000,8,15,7934,0.357827,0.000000,464.000000,22357168.016907
mutex,65536,1000,2,15,2000,4.075500,0.000000,3408.000000,490737.332843
lockfree,65536,1000,2,15,2000,0.369500,0.000000,33.000000,5412719.891746
mutex,65536,1000,4,15,4000,2.537750,0.000000,260.000000,1576199.389223
lockfree,65536,1000,4,15,4000,0.381000,0.000000,350.000000,10498687.664042
mutex,65536,1000,8,15,8000,3.129375,0.000000,3845.000000,2556421.010585
lockfree,65536,1000,8,15,8000,0.141750,0.000000,4.000000,56437389.770723
